TCurr, mavlink_nav_controller_output_t.nav_roll, mavlink_nav_controller_output_t.nav_pitch, mavlink_attitude_t.yaw, mavlink_gps_raw_int_t.vel, mavlink_raw_imu_t.xgyro, mavlink_raw_imu_t.ygyro
-0.7101141,1.836981,-2.594401,-2.964194,8,6,5
-0.7101141,1.836981,-2.594401,-2.964194,8,6,5
-0.7101141,1.836981,-2.594401,-2.964194,8,6,5
-0.7101141,1.836981,-2.594401,-2.964194,1,6,5
-0.0405134,-1.510212,0.4749067,-2.964194,1,6,5
-0.0405134,-1.510212,0.4749067,-2.964194,1,0,0
-0.0405134,-1.510212,0.4749067,-2.964194,1,0,0
-0.0405134,-1.510212,0.4749067,-2.964194,1,0,0
-0.0405134,-1.510212,0.4749067,-2.964194,1,0,0
-0.0405134,-1.510212,0.4749067,-2.964194,1,0,0
-0.0405134,-1.510212,0.4749067,-2.964194,1,0,0
-0.0405134,-1.510212,0.4749067,-2.963834,1,0,0
-0.0405134,-1.510212,0.4749067,-2.963834,1,0,0
-0.0405134,-1.510212,0.4749067,-2.963834,1,0,0
-0.0405134,-1.510212,0.4749067,-2.963834,1,0,0
-0.001609895,-1.495675,0.4822295,-2.963834,1,0,0
-0.001609895,-1.495675,0.4822295,-2.963834,1,0,1
-0.001609895,-1.495675,0.4822295,-2.963834,1,0,1
-0.001609895,-1.495675,0.4822295,-2.963834,1,0,1
-0.001609895,-1.495675,0.4822295,-2.963834,1,0,1
-0.001609895,-1.495675,0.4822295,-2.963834,1,0,1
-0.001609895,-1.495675,0.4822295,-2.963551,1,0,1
-0.001609895,-1.495675,0.4822295,-2.963551,1,0,1
-0.001609895,-1.495675,0.4822295,-2.963569,1,0,1
-0.001609895,-1.495675,0.4822295,-2.963569,1,0,1
-0.001609895,-1.495675,0.4822295,-2.963569,1,0,1
-0.001609895,-1.495675,0.4822295,-2.963569,2,0,1
0.02929101,-1.497478,0.4849285,-2.963569,2,0,1
0.02929101,-1.497478,0.4849285,-2.963569,2,0,0
0.02929101,-1.497478,0.4849285,-2.963569,2,0,0
0.02929101,-1.497478,0.4849285,-2.963569,2,0,0
0.02929101,-1.497478,0.4849285,-2.963569,2,0,0
0.02929101,-1.497478,0.4849285,-2.963569,2,0,0
0.02929101,-1.497478,0.4849285,-2.963651,2,0,0
0.02929101,-1.497478,0.4849285,-2.963651,2,0,0
0.02929101,-1.497478,0.4849285,-2.963557,2,0,0
0.02929101,-1.497478,0.4849285,-2.963557,2,0,0
0.02929101,-1.497478,0.4849285,-2.963557,2,0,0
0.02929101,-1.497478,0.4849285,-2.963557,4,0,0
0.06088516,-1.501372,0.4897518,-2.963557,4,0,0
0.06088516,-1.501372,0.4897518,-2.963557,4,0,0
0.06088516,-1.501372,0.4897518,-2.963557,4,0,0
0.06088516,-1.501372,0.4897518,-2.963557,4,0,0
0.06088516,-1.501372,0.4897518,-2.963223,4,0,0
0.06088516,-1.501372,0.4897518,-2.963223,4,0,0
0.06088516,-1.501372,0.4897518,-2.963223,4,0,0
0.06088516,-1.501372,0.4897518,-2.963223,4,0,0
0.06088516,-1.501372,0.4897518,-2.96306,4,0,0
0.06088516,-1.501372,0.4897518,-2.96306,4,0,0
0.06088516,-1.501372,0.4897518,-2.96306,4,0,0
0.06088516,-1.501372,0.4897518,-2.96306,4,0,0
0.06088516,-1.501372,0.4897518,-2.96306,4,0,0
0.06088516,-1.501372,0.4897518,-2.96306,4,0,0
0.06088516,-1.501372,0.4897518,-2.96306,3,0,0
0.09175967,-1.505705,0.4909258,-2.96306,3,0,0
0.09175967,-1.505705,0.4909258,-2.963116,3,0,0
0.09175967,-1.505705,0.4909258,-2.963116,3,0,0
0.09175967,-1.505705,0.4909258,-2.963116,3,0,0
0.09175967,-1.505705,0.4909258,-2.963116,3,0,0
0.09175967,-1.505705,0.4909258,-2.96287,3,0,0
0.09175967,-1.505705,0.4909258,-2.96287,3,0,0
0.09175967,-1.505705,0.4909258,-2.96287,3,0,0
0.09175967,-1.505705,0.4909258,-2.96287,3,0,0
0.09175967,-1.505705,0.4909258,-2.96287,3,0,0
0.09175967,-1.505705,0.4909258,-2.96287,3,0,0
0.09175967,-1.505705,0.4909258,-2.96287,3,0,0
0.09175967,-1.505705,0.4909258,-2.96287,2,0,0
0.1116197,-1.498666,0.489978,-2.96287,2,0,0
0.1116197,-1.498666,0.489978,-2.962635,2,0,0
0.1116197,-1.498666,0.489978,-2.962635,2,0,0
0.1116197,-1.498666,0.489978,-2.962635,2,0,0
0.1116197,-1.498666,0.489978,-2.962635,2,0,0
0.1116197,-1.498666,0.489978,-2.962386,2,0,0
0.1116197,-1.498666,0.489978,-2.962386,2,0,0
0.1116197,-1.498666,0.489978,-2.962386,2,0,0
0.1116197,-1.498666,0.489978,-2.962386,2,0,0
0.1116197,-1.498666,0.489978,-2.962386,2,0,0
0.1116197,-1.498666,0.489978,-2.962386,2,0,0
0.1116197,-1.498666,0.489978,-2.962386,2,0,0
0.130424,-1.507273,0.4784996,-2.962386,2,0,0
0.130424,-1.507273,0.4784996,-2.962537,2,0,0
0.130424,-1.507273,0.4784996,-2.962537,2,0,0
0.130424,-1.507273,0.4784996,-2.962537,2,0,0
0.130424,-1.507273,0.4784996,-2.962537,2,0,0
0.130424,-1.507273,0.4784996,-2.963317,2,0,0
0.130424,-1.507273,0.4784996,-2.963317,2,0,0
0.130424,-1.507273,0.4784996,-2.963317,2,0,0
0.130424,-1.507273,0.4784996,-2.963317,2,0,0
0.130424,-1.507273,0.4784996,-2.963317,2,0,0
0.130424,-1.507273,0.4784996,-2.963317,2,0,0
0.130424,-1.507273,0.4784996,-2.963317,4,0,0
0.130424,-1.507273,0.4784996,-2.964614,4,0,0
0.130424,-1.507273,0.4784996,-2.964614,4,0,0
0.130424,-1.507273,0.4784996,-2.964614,4,0,0
0.130424,-1.507273,0.4784996,-2.964614,4,0,0
0.130424,-1.507273,0.4784996,-2.964614,4,0,1
0.130424,-1.507273,0.4784996,-2.964614,4,0,1
0.130424,-1.507273,0.4784996,-2.964614,4,0,1
0.130424,-1.507273,0.4784996,-2.965947,4,0,1
0.130424,-1.507273,0.4784996,-2.965947,4,0,1
0.130424,-1.507273,0.4784996,-2.965947,4,0,1
0.130424,-1.507273,0.4784996,-2.965947,4,0,1
0.130424,-1.507273,0.4784996,-2.965947,4,0,0
0.130424,-1.507273,0.4784996,-2.967384,4,0,0
0.130424,-1.507273,0.4784996,-2.967384,4,0,0
0.130424,-1.507273,0.4784996,-2.967384,4,0,0
0.130424,-1.507273,0.4784996,-2.967384,4,0,0
0.130424,-1.507273,0.4784996,-2.969116,4,0,0
0.130424,-1.507273,0.4784996,-2.969116,4,0,1
0.130424,-1.507273,0.4784996,-2.969116,4,0,1
0.130424,-1.507273,0.4784996,-2.969116,4,0,1
0.130424,-1.507273,0.4784996,-2.969116,4,0,1
0.130424,-1.507273,0.4784996,-2.969116,4,0,1
0.130424,-1.507273,0.4784996,-2.969116,3,0,1
0.139456,-1.48173,0.447343,-2.969116,3,0,1
0.139456,-1.48173,0.447343,-2.971201,3,0,1
0.139456,-1.48173,0.447343,-2.971201,3,0,1
0.139456,-1.48173,0.447343,-2.971201,3,0,1
0.139456,-1.48173,0.447343,-2.971201,3,0,1
0.139456,-1.48173,0.447343,-2.973665,3,0,1
0.139456,-1.48173,0.447343,-2.973665,3,1,0
0.139456,-1.48173,0.447343,-2.973665,3,1,0
0.139456,-1.48173,0.447343,-2.973665,3,1,0
0.139456,-1.48173,0.447343,-2.973665,3,1,0
0.139456,-1.48173,0.447343,-2.973665,3,1,0
0.139456,-1.48173,0.447343,-2.973665,1,1,0
0.1255764,-1.475931,0.4125794,-2.973665,1,1,0
0.1255764,-1.475931,0.4125794,-2.975608,1,1,0
0.1255764,-1.475931,0.4125794,-2.975608,1,1,0
0.1255764,-1.475931,0.4125794,-2.975608,1,1,0
0.1255764,-1.475931,0.4125794,-2.975608,1,1,0
0.1255764,-1.475931,0.4125794,-2.975608,1,0,0
0.1255764,-1.475931,0.4125794,-2.975608,1,0,0
0.1255764,-1.475931,0.4125794,-2.975608,1,0,0
0.1255764,-1.475931,0.4125794,-2.975608,1,0,0
0.1255764,-1.475931,0.4125794,-2.975608,1,0,0
0.1255764,-1.475931,0.4125794,-2.975608,1,0,0
0.1936809,-1.457491,0.3806401,-2.975608,1,0,0
0.1936809,-1.457491,0.3806401,-2.977204,1,0,0
0.1936809,-1.457491,0.3806401,-2.979006,1,0,0
0.1936809,-1.457491,0.3806401,-2.979006,1,0,0
0.1936809,-1.457491,0.3806401,-2.979006,1,0,0
0.1936809,-1.457491,0.3806401,-2.979006,1,0,0
0.1936809,-1.457491,0.3806401,-2.979006,1,0,0
0.1936809,-1.457491,0.3806401,-2.979006,1,0,0
0.1936809,-1.457491,0.3806401,-2.979006,1,0,0
0.1936809,-1.457491,0.3806401,-2.979006,1,0,0
0.1936809,-1.457491,0.3806401,-2.979006,1,0,0
0.1936809,-1.457491,0.3806401,-2.979006,1,0,0
0.2336733,-1.45523,0.4136718,-2.979006,1,0,0
0.2336733,-1.45523,0.4136718,-2.980905,1,0,0
0.2336733,-1.45523,0.4136718,-2.981565,1,0,0
