TRoll,TPitch, mavlink_nav_controller_output_t.alt_error, mavlink_attitude_t.roll, mavlink_attitude_t.pitch, mavlink_attitude_t.yaw, mavlink_attitude_t.rollspeed, mavlink_attitude_t.pitchspeed, mavlink_attitude_t.yawspeed, mavlink_ahrs_t.omegaIx, mavlink_ahrs_t.omegaIy, mavlink_ahrs_t.omegaIz, mavlink_ahrs_t.error_rp, mavlink_ahrs_t.error_yaw, mavlink_ekf_status_report_t.velocity_variance, mavlink_ekf_status_report_t.pos_horiz_variance, mavlink_ekf_status_report_t.pos_vert_variance, mavlink_ekf_status_report_t.compass_variance, mavlink_ekf_status_report_t.terrain_alt_variance
-0.1760155,0.6012803,-2.528642,-0.002711678,0.009905359,1.752705,0.000307259,0.000729382,0.00012742,-0.00062047,-0.001007281,0.000408445,0.002564248,0.0229844,0.1723374,0.02122214,0.01498984,0.2345612,0.01369714
-0.1760155,0.6012803,-2.528642,-0.002711678,0.009905359,1.752705,0.000307259,0.000729382,0.00012742,-0.00062047,-0.001007281,0.000408445,0.002564248,0.0229844,0.1723374,0.02122214,0.01498984,0.2345612,0.01369714
-0.1760155,0.6012803,-2.528642,-0.002711678,0.009905359,1.752705,0.000307259,0.000729382,0.00012742,-0.00062047,-0.001007281,0.000408445,0.002564248,0.0229844,0.1723374,0.02122214,0.01498984,0.2345612,0.01369714
-0.2024361,0.796143,-2.59079,-0.002711678,0.009905359,1.752705,0.000307259,0.000729382,0.00012742,-0.00062047,-0.001007281,0.000408445,0.002564248,0.0229844,0.1723374,0.02122214,0.01498984,0.2345612,0.01369714
-0.2024361,0.796143,-2.59079,-0.002711678,0.009905359,1.752705,0.000307259,0.000729382,0.00012742,-0.00062047,-0.001007281,0.000408445,0.002564248,0.0229844,0.1723374,0.02122214,0.01498984,0.2345612,0.01369714
-0.2024361,0.796143,-2.59079,-0.002711678,0.009905359,1.752705,0.000307259,0.000729382,0.00012742,-0.00062047,-0.001007281,0.000408445,0.002564248,0.0229844,0.1723374,0.02122214,0.01498984,0.2345612,0.01369714
-0.2024361,0.796143,-2.59079,-0.002711678,0.009905359,1.752705,0.000307259,0.000729382,0.00012742,-0.00062047,-0.001007281,0.000408445,0.002564248,0.0229844,0.1723374,0.02122214,0.01498984,0.2345612,0.01369714
-0.2024361,0.796143,-2.59079,-0.003297146,0.01357954,1.593154,0.00029656,0.000644678,0.00083023,-0.00062047,-0.001007281,0.000408445,0.002564248,0.0229844,0.1723374,0.02122214,0.01498984,0.2345612,0.01369714
-0.2024361,0.796143,-2.59079,-0.003297146,0.01357954,1.593154,0.00029656,0.000644678,0.00083023,-0.00055056,-0.000936461,-0.000386304,0.000714753,0.009350036,0.1723374,0.02122214,0.01498984,0.2345612,0.01369714
-0.2024361,0.796143,-2.59079,-0.003297146,0.01357954,1.593154,0.00029656,0.000644678,0.00083023,-0.00055056,-0.000936461,-0.000386304,0.000714753,0.009350036,0.1193959,0.002069977,0.02818478,0.005560912,0.01384085
-0.2024361,0.796143,-2.59079,-0.002999654,0.01274647,1.592995,0.000404108,0.00017274,-0.000127412,-0.00055056,-0.000936461,-0.000386304,0.000714753,0.009350036,0.1193959,0.002069977,0.02818478,0.005560912,0.01384085
-0.2024361,0.796143,-2.59079,-0.002999654,0.01274647,1.592995,0.000404108,0.00017274,-0.000127412,-0.00055056,-0.000936461,-0.000386304,0.000714753,0.009350036,0.1193959,0.002069977,0.02818478,0.005560912,0.01384085
-0.2024361,0.796143,-2.59079,-0.002999654,0.01274647,1.592995,0.000404108,0.00017274,-0.000127412,-0.00055056,-0.000936461,-0.000386304,0.000714753,0.009350036,0.1193959,0.002069977,0.02818478,0.005560912,0.01384085
-0.2024361,0.796143,-2.59079,-0.002999654,0.01274647,1.592995,0.000404108,0.00017274,-0.000127412,-0.00055056,-0.000936461,-0.000386304,0.000714753,0.009350036,0.1193959,0.002069977,0.02818478,0.005560912,0.01384085
-0.2024361,0.796143,-2.59079,-0.002999654,0.01274647,1.592995,0.000404108,0.00017274,-0.000127412,-0.00055056,-0.000936461,-0.000386304,0.000714753,0.009350036,0.1193959,0.002069977,0.02818478,0.005560912,0.01384085
-0.1725361,0.7284168,-2.620837,-0.002999654,0.01274647,1.592995,0.000404108,0.00017274,-0.000127412,-0.00055056,-0.000936461,-0.000386304,0.000714753,0.009350036,0.1193959,0.002069977,0.02818478,0.005560912,0.01384085
-0.1725361,0.7284168,-2.620837,-0.002999654,0.01274647,1.592995,0.000404108,0.00017274,-0.000127412,-0.00055056,-0.000936461,-0.000386304,0.000714753,0.009350036,0.1193959,0.002069977,0.02818478,0.005560912,0.01384085
-0.1725361,0.7284168,-2.620837,-0.002999654,0.01274647,1.592995,0.000404108,0.00017274,-0.000127412,-0.00055056,-0.000936461,-0.000386304,0.000714753,0.009350036,0.1193959,0.002069977,0.02818478,0.005560912,0.01384085
-0.1725361,0.7284168,-2.620837,-0.002999654,0.01274647,1.592995,0.000404108,0.00017274,-0.000127412,-0.00055056,-0.000936461,-0.000386304,0.000714753,0.009350036,0.1193959,0.002069977,0.02818478,0.005560912,0.01384085
-0.1725361,0.7284168,-2.620837,-0.003103745,0.01282058,1.592775,0.001433,0.000969744,-0.000402372,-0.00055056,-0.000936461,-0.000386304,0.000714753,0.009350036,0.1193959,0.002069977,0.02818478,0.005560912,0.01384085
-0.1725361,0.7284168,-2.620837,-0.003103745,0.01282058,1.592775,0.001433,0.000969744,-0.000402372,-0.000548343,-0.000927559,-0.000384977,0.000721658,0.01846703,0.1193959,0.002069977,0.02818478,0.005560912,0.01384085
-0.1725361,0.7284168,-2.620837,-0.003103745,0.01282058,1.592775,0.001433,0.000969744,-0.000402372,-0.000548343,-0.000927559,-0.000384977,0.000721658,0.01846703,0.0866847,0.02601304,0.009211424,0.02730436,0.01815236
-0.1725361,0.7284168,-2.620837,-0.003103745,0.01282058,1.592775,0.001433,0.000969744,-0.000402372,-0.000548343,-0.000927559,-0.000384977,0.000721658,0.01846703,0.0866847,0.02601304,0.009211424,0.02730436,0.01815236
-0.1725361,0.7284168,-2.620837,-0.003103745,0.01282058,1.592775,0.001433,0.000969744,-0.000402372,-0.000548343,-0.000927559,-0.000384977,0.000721658,0.01846703,0.0866847,0.02601304,0.009211424,0.02730436,0.01815236
-0.1725361,0.7284168,-2.620837,-0.003103745,0.01282058,1.592775,0.001433,0.000969744,-0.000402372,-0.000548343,-0.000927559,-0.000384977,0.000721658,0.01846703,0.0866847,0.02601304,0.009211424,0.02730436,0.01815236
-0.1725361,0.7284168,-2.620837,-0.003103745,0.01282058,1.592775,0.001433,0.000969744,-0.000402372,-0.000548343,-0.000927559,-0.000384977,0.000721658,0.01846703,0.0866847,0.02601304,0.009211424,0.02730436,0.01815236
-0.2085042,0.7467445,-2.663346,-0.003103745,0.01282058,1.592775,0.001433,0.000969744,-0.000402372,-0.000548343,-0.000927559,-0.000384977,0.000721658,0.01846703,0.0866847,0.02601304,0.009211424,0.02730436,0.01815236
-0.2085042,0.7467445,-2.663346,-0.003103745,0.01282058,1.592775,0.001433,0.000969744,-0.000402372,-0.000548343,-0.000927559,-0.000384977,0.000721658,0.01846703,0.0866847,0.02601304,0.009211424,0.02730436,0.01815236
-0.2085042,0.7467445,-2.663346,-0.003103745,0.01282058,1.592775,0.001433,0.000969744,-0.000402372,-0.000548343,-0.000927559,-0.000384977,0.000721658,0.01846703,0.0866847,0.02601304,0.009211424,0.02730436,0.01815236
-0.2085042,0.7467445,-2.663346,-0.003103745,0.01282058,1.592775,0.001433,0.000969744,-0.000402372,-0.000548343,-0.000927559,-0.000384977,0.000721658,0.01846703,0.0866847,0.02601304,0.009211424,0.02730436,0.01815236
-0.2085042,0.7467445,-2.663346,-0.003756191,0.0130589,1.592541,0.000149121,-0.000784093,-0.000176627,-0.000548343,-0.000927559,-0.000384977,0.000721658,0.01846703,0.0866847,0.02601304,0.009211424,0.02730436,0.01815236
-0.2085042,0.7467445,-2.663346,-0.003756191,0.0130589,1.592541,0.000149121,-0.000784093,-0.000176627,-0.000550322,-0.000924258,-0.000386954,0.000635454,0.02161822,0.0866847,0.02601304,0.009211424,0.02730436,0.01815236
-0.2085042,0.7467445,-2.663346,-0.003756191,0.0130589,1.592541,0.000149121,-0.000784093,-0.000176627,-0.000550322,-0.000924258,-0.000386954,0.000635454,0.02161822,0.03042884,0.02136714,0.006092211,0.05014545,0.02811113
-0.2085042,0.7467445,-2.663346,-0.004378032,0.01383319,1.592035,-0.000378249,0.001353952,0.000662452,-0.000550322,-0.000924258,-0.000386954,0.000635454,0.02161822,0.03042884,0.02136714,0.006092211,0.05014545,0.02811113
-0.2085042,0.7467445,-2.663346,-0.004378032,0.01383319,1.592035,-0.000378249,0.001353952,0.000662452,-0.000550322,-0.000924258,-0.000386954,0.000635454,0.02161822,0.03042884,0.02136714,0.006092211,0.05014545,0.02811113
-0.2085042,0.7467445,-2.663346,-0.004378032,0.01383319,1.592035,-0.000378249,0.001353952,0.000662452,-0.000550322,-0.000924258,-0.000386954,0.000635454,0.02161822,0.03042884,0.02136714,0.006092211,0.05014545,0.02811113
-0.2085042,0.7467445,-2.663346,-0.004378032,0.01383319,1.592035,-0.000378249,0.001353952,0.000662452,-0.000550322,-0.000924258,-0.000386954,0.000635454,0.02161822,0.03042884,0.02136714,0.006092211,0.05014545,0.02811113
-0.2085042,0.7467445,-2.663346,-0.004378032,0.01383319,1.592035,-0.000378249,0.001353952,0.000662452,-0.000550322,-0.000924258,-0.000386954,0.000635454,0.02161822,0.03042884,0.02136714,0.006092211,0.05014545,0.02811113
-0.2583949,0.7952926,-2.703527,-0.004378032,0.01383319,1.592035,-0.000378249,0.001353952,0.000662452,-0.000550322,-0.000924258,-0.000386954,0.000635454,0.02161822,0.03042884,0.02136714,0.006092211,0.05014545,0.02811113
-0.2583949,0.7952926,-2.703527,-0.004378032,0.01383319,1.592035,-0.000378249,0.001353952,0.000662452,-0.000550322,-0.000924258,-0.000386954,0.000635454,0.02161822,0.03042884,0.02136714,0.006092211,0.05014545,0.02811113
-0.2583949,0.7952926,-2.703527,-0.004378032,0.01383319,1.592035,-0.000378249,0.001353952,0.000662452,-0.000550322,-0.000924258,-0.000386954,0.000635454,0.02161822,0.03042884,0.02136714,0.006092211,0.05014545,0.02811113
-0.2583949,0.7952926,-2.703527,-0.004378032,0.01383319,1.592035,-0.000378249,0.001353952,0.000662452,-0.000550322,-0.000924258,-0.000386954,0.000635454,0.02161822,0.03042884,0.02136714,0.006092211,0.05014545,0.02811113
-0.2583949,0.7952926,-2.703527,-0.004378032,0.01383319,1.592035,-0.000378249,0.001353952,0.000662452,-0.000551794,-0.000920253,-0.000387073,0.000887991,0.01815468,0.03042884,0.02136714,0.006092211,0.05014545,0.02811113
-0.2583949,0.7952926,-2.703527,-0.004378032,0.01383319,1.592035,-0.000378249,0.001353952,0.000662452,-0.000551794,-0.000920253,-0.000387073,0.000887991,0.01815468,0.0324389,0.05383371,0.01069274,0.01201721,0.03717186
-0.2583949,0.7952926,-2.703527,-0.005084428,0.01392285,1.591799,0.000937765,-5.07E-05,-0.000240822,-0.000551794,-0.000920253,-0.000387073,0.000887991,0.01815468,0.0324389,0.05383371,0.01069274,0.01201721,0.03717186
-0.2583949,0.7952926,-2.703527,-0.005084428,0.01392285,1.591799,0.000937765,-5.07E-05,-0.000240822,-0.000551794,-0.000920253,-0.000387073,0.000887991,0.01815468,0.0324389,0.05383371,0.01069274,0.01201721,0.03717186
-0.2583949,0.7952926,-2.703527,-0.005084428,0.01392285,1.591799,0.000937765,-5.07E-05,-0.000240822,-0.000551794,-0.000920253,-0.000387073,0.000887991,0.01815468,0.0324389,0.05383371,0.01069274,0.01201721,0.03717186
-0.2583949,0.7952926,-2.703527,-0.005084428,0.01392285,1.591799,0.000937765,-5.07E-05,-0.000240822,-0.000551794,-0.000920253,-0.000387073,0.000887991,0.01815468,0.0324389,0.05383371,0.01069274,0.01201721,0.03717186
-0.2583949,0.7952926,-2.703527,-0.005084428,0.01392285,1.591799,0.000937765,-5.07E-05,-0.000240822,-0.000551794,-0.000920253,-0.000387073,0.000887991,0.01815468,0.0324389,0.05383371,0.01069274,0.01201721,0.03717186
-0.3127889,0.8155657,-2.775836,-0.005084428,0.01392285,1.591799,0.000937765,-5.07E-05,-0.000240822,-0.000551794,-0.000920253,-0.000387073,0.000887991,0.01815468,0.0324389,0.05383371,0.01069274,0.01201721,0.03717186
-0.3127889,0.8155657,-2.775836,-0.005084428,0.01392285,1.591799,0.000937765,-5.07E-05,-0.000240822,-0.000551794,-0.000920253,-0.000387073,0.000887991,0.01815468,0.0324389,0.05383371,0.01069274,0.01201721,0.03717186
-0.3127889,0.8155657,-2.775836,-0.005084428,0.01392285,1.591799,0.000937765,-5.07E-05,-0.000240822,-0.000551794,-0.000920253,-0.000387073,0.000887991,0.01815468,0.0324389,0.05383371,0.01069274,0.01201721,0.03717186
-0.3127889,0.8155657,-2.775836,-0.005084428,0.01392285,1.591799,0.000937765,-5.07E-05,-0.000240822,-0.000551794,-0.000920253,-0.000387073,0.000887991,0.01815468,0.0324389,0.05383371,0.01069274,0.01201721,0.03717186
-0.3127889,0.8155657,-2.775836,-0.005770898,0.01435428,1.59144,-0.000492264,0.001159223,0.001508437,-0.000551794,-0.000920253,-0.000387073,0.000887991,0.01815468,0.0324389,0.05383371,0.01069274,0.01201721,0.03717186
-0.3127889,0.8155657,-2.775836,-0.005770898,0.01435428,1.59144,-0.000492264,0.001159223,0.001508437,-0.000554016,-0.000919205,-0.000388687,0.001044212,0.01713146,0.0324389,0.05383371,0.01069274,0.01201721,0.03717186
-0.3127889,0.8155657,-2.775836,-0.005770898,0.01435428,1.59144,-0.000492264,0.001159223,0.001508437,-0.000554016,-0.000919205,-0.000388687,0.001044212,0.01713146,0.12093,0.05415264,0.003476871,0.001369192,0.0380475
-0.3127889,0.8155657,-2.775836,-0.005770898,0.01435428,1.59144,-0.000492264,0.001159223,0.001508437,-0.000554016,-0.000919205,-0.000388687,0.001044212,0.01713146,0.12093,0.05415264,0.003476871,0.001369192,0.0380475
-0.3127889,0.8155657,-2.775836,-0.006466309,0.01433032,1.591339,0.000930172,0.000363158,0.001134806,-0.000554016,-0.000919205,-0.000388687,0.001044212,0.01713146,0.12093,0.05415264,0.003476871,0.001369192,0.0380475
-0.3127889,0.8155657,-2.775836,-0.006466309,0.01433032,1.591339,0.000930172,0.000363158,0.001134806,-0.000554016,-0.000919205,-0.000388687,0.001044212,0.01713146,0.12093,0.05415264,0.003476871,0.001369192,0.0380475
-0.3127889,0.8155657,-2.775836,-0.006466309,0.01433032,1.591339,0.000930172,0.000363158,0.001134806,-0.000554016,-0.000919205,-0.000388687,0.001044212,0.01713146,0.12093,0.05415264,0.003476871,0.001369192,0.0380475
-0.3127889,0.8155657,-2.775836,-0.006466309,0.01433032,1.591339,0.000930172,0.000363158,0.001134806,-0.000554016,-0.000919205,-0.000388687,0.001044212,0.01713146,0.12093,0.05415264,0.003476871,0.001369192,0.0380475
-0.3723055,0.8211694,-2.803046,-0.006466309,0.01433032,1.591339,0.000930172,0.000363158,0.001134806,-0.000554016,-0.000919205,-0.000388687,0.001044212,0.01713146,0.12093,0.05415264,0.003476871,0.001369192,0.0380475
-0.3723055,0.8211694,-2.803046,-0.006466309,0.01433032,1.591339,0.000930172,0.000363158,0.001134806,-0.000554016,-0.000919205,-0.000388687,0.001044212,0.01713146,0.12093,0.05415264,0.003476871,0.001369192,0.0380475
-0.3723055,0.8211694,-2.803046,-0.006466309,0.01433032,1.591339,0.000930172,0.000363158,0.001134806,-0.000554016,-0.000919205,-0.000388687,0.001044212,0.01713146,0.12093,0.05415264,0.003476871,0.001369192,0.0380475
-0.3723055,0.8211694,-2.803046,-0.006466309,0.01433032,1.591339,0.000930172,0.000363158,0.001134806,-0.000554016,-0.000919205,-0.000388687,0.001044212,0.01713146,0.12093,0.05415264,0.003476871,0.001369192,0.0380475
-0.3723055,0.8211694,-2.803046,-0.006466309,0.01433032,1.591339,0.000930172,0.000363158,0.001134806,-0.000551392,-0.000917018,-0.000389005,0.001215399,0.01183815,0.12093,0.05415264,0.003476871,0.001369192,0.0380475
-0.3723055,0.8211694,-2.803046,-0.006466309,0.01433032,1.591339,0.000930172,0.000363158,0.001134806,-0.000551392,-0.000917018,-0.000389005,0.001215399,0.01183815,0.04169189,0.02804597,0.004592437,0.0219523,0.03466155
-0.3723055,0.8211694,-2.803046,-0.006055346,0.01424652,1.591394,0.001157633,0.000861423,0.001416024,-0.000551392,-0.000917018,-0.000389005,0.001215399,0.01183815,0.04169189,0.02804597,0.004592437,0.0219523,0.03466155
-0.3723055,0.8211694,-2.803046,-0.006055346,0.01424652,1.591394,0.001157633,0.000861423,0.001416024,-0.000551392,-0.000917018,-0.000389005,0.001215399,0.01183815,0.04169189,0.02804597,0.004592437,0.0219523,0.03466155
-0.3723055,0.8211694,-2.803046,-0.006055346,0.01424652,1.591394,0.001157633,0.000861423,0.001416024,-0.000551392,-0.000917018,-0.000389005,0.001215399,0.01183815,0.04169189,0.02804597,0.004592437,0.0219523,0.03466155
-0.3723055,0.8211694,-2.803046,-0.006055346,0.01424652,1.591394,0.001157633,0.000861423,0.001416024,-0.000551392,-0.000917018,-0.000389005,0.001215399,0.01183815,0.04169189,0.02804597,0.004592437,0.0219523,0.03466155
-0.3723055,0.8211694,-2.803046,-0.006055346,0.01424652,1.591394,0.001157633,0.000861423,0.001416024,-0.000551392,-0.000917018,-0.000389005,0.001215399,0.01183815,0.04169189,0.02804597,0.004592437,0.0219523,0.03466155
-0.3303787,0.8102251,-2.809703,-0.006055346,0.01424652,1.591394,0.001157633,0.000861423,0.001416024,-0.000551392,-0.000917018,-0.000389005,0.001215399,0.01183815,0.04169189,0.02804597,0.004592437,0.0219523,0.03466155
-0.3303787,0.8102251,-2.809703,-0.006055346,0.01424652,1.591394,0.001157633,0.000861423,0.001416024,-0.000551392,-0.000917018,-0.000389005,0.001215399,0.01183815,0.04169189,0.02804597,0.004592437,0.0219523,0.03466155
-0.3303787,0.8102251,-2.809703,-0.006055346,0.01424652,1.591394,0.001157633,0.000861423,0.001416024,-0.000551392,-0.000917018,-0.000389005,0.001215399,0.01183815,0.04169189,0.02804597,0.004592437,0.0219523,0.03466155
-0.3303787,0.8102251,-2.809703,-0.006055346,0.01424652,1.591394,0.001157633,0.000861423,0.001416024,-0.000551392,-0.000917018,-0.000389005,0.001215399,0.01183815,0.04169189,0.02804597,0.004592437,0.0219523,0.03466155
-0.3303787,0.8102251,-2.809703,-0.005470435,0.01409338,1.591223,-3.02E-05,0.001157913,-0.000115706,-0.000551392,-0.000917018,-0.000389005,0.001215399,0.01183815,0.04169189,0.02804597,0.004592437,0.0219523,0.03466155
-0.3303787,0.8102251,-2.809703,-0.005470435,0.01409338,1.591223,-3.02E-05,0.001157913,-0.000115706,-0.000554066,-0.000925543,-0.000394477,0.001370365,0.01094349,0.04169189,0.02804597,0.004592437,0.0219523,0.03466155
-0.3303787,0.8102251,-2.809703,-0.005470435,0.01409338,1.591223,-3.02E-05,0.001157913,-0.000115706,-0.000554066,-0.000925543,-0.000394477,0.001370365,0.01094349,0.04618625,0.02947202,0.001287785,0.008494132,0.02325486
-0.3303787,0.8102251,-2.809703,-0.005470435,0.01409338,1.591223,-3.02E-05,0.001157913,-0.000115706,-0.000554066,-0.000925543,-0.000394477,0.001370365,0.01094349,0.04618625,0.02947202,0.001287785,0.008494132,0.02325486
-0.3303787,0.8102251,-2.809703,-0.005470435,0.01409338,1.591223,-3.02E-05,0.001157913,-0.000115706,-0.000554066,-0.000925543,-0.000394477,0.001370365,0.01094349,0.04618625,0.02947202,0.001287785,0.008494132,0.02325486
-0.3303787,0.8102251,-2.809703,-0.005470435,0.01409338,1.591223,-3.02E-05,0.001157913,-0.000115706,-0.000554066,-0.000925543,-0.000394477,0.001370365,0.01094349,0.04618625,0.02947202,0.001287785,0.008494132,0.02325486
-0.3303787,0.8102251,-2.809703,-0.005470435,0.01409338,1.591223,-3.02E-05,0.001157913,-0.000115706,-0.000554066,-0.000925543,-0.000394477,0.001370365,0.01094349,0.04618625,0.02947202,0.001287785,0.008494132,0.02325486
-0.30244,0.815237,-2.790445,-0.005470435,0.01409338,1.591223,-3.02E-05,0.001157913,-0.000115706,-0.000554066,-0.000925543,-0.000394477,0.001370365,0.01094349,0.04618625,0.02947202,0.001287785,0.008494132,0.02325486
-0.30244,0.815237,-2.790445,-0.005279098,0.01422849,1.590964,-0.000102457,0.000100174,-0.00020579,-0.000554066,-0.000925543,-0.000394477,0.001370365,0.01094349,0.04618625,0.02947202,0.001287785,0.008494132,0.02325486
-0.30244,0.815237,-2.790445,-0.005279098,0.01422849,1.590964,-0.000102457,0.000100174,-0.00020579,-0.000554066,-0.000925543,-0.000394477,0.001370365,0.01094349,0.04618625,0.02947202,0.001287785,0.008494132,0.02325486
-0.30244,0.815237,-2.790445,-0.005279098,0.01422849,1.590964,-0.000102457,0.000100174,-0.00020579,-0.000554066,-0.000925543,-0.000394477,0.001370365,0.01094349,0.04618625,0.02947202,0.001287785,0.008494132,0.02325486
-0.30244,0.815237,-2.790445,-0.005279098,0.01422849,1.590964,-0.000102457,0.000100174,-0.00020579,-0.000554066,-0.000925543,-0.000394477,0.001370365,0.01094349,0.04618625,0.02947202,0.001287785,0.008494132,0.02325486
-0.30244,0.815237,-2.790445,-0.005279098,0.01422849,1.590964,-0.000102457,0.000100174,-0.00020579,-0.000549802,-0.000918268,-0.00039384,0.001475813,0.009184996,0.04618625,0.02947202,0.001287785,0.008494132,0.02325486
-0.30244,0.815237,-2.790445,-0.005279098,0.01422849,1.590964,-0.000102457,0.000100174,-0.00020579,-0.000549802,-0.000918268,-0.00039384,0.001475813,0.009184996,0.07583847,0.02795095,0.0115208,0.000495538,0.01201933
-0.30244,0.815237,-2.790445,-0.004845126,0.01473881,1.590743,0.001391793,-0.000318881,0.000897522,-0.000549802,-0.000918268,-0.00039384,0.001475813,0.009184996,0.07583847,0.02795095,0.0115208,0.000495538,0.01201933
-0.30244,0.815237,-2.790445,-0.004845126,0.01473881,1.590743,0.001391793,-0.000318881,0.000897522,-0.000549802,-0.000918268,-0.00039384,0.001475813,0.009184996,0.07583847,0.02795095,0.0115208,0.000495538,0.01201933
-0.30244,0.815237,-2.790445,-0.004845126,0.01473881,1.590743,0.001391793,-0.000318881,0.000897522,-0.000549802,-0.000918268,-0.00039384,0.001475813,0.009184996,0.07583847,0.02795095,0.0115208,0.000495538,0.01201933
-0.30244,0.815237,-2.790445,-0.004845126,0.01473881,1.590743,0.001391793,-0.000318881,0.000897522,-0.000549802,-0.000918268,-0.00039384,0.001475813,0.009184996,0.07583847,0.02795095,0.0115208,0.000495538,0.01201933
-0.30244,0.815237,-2.790445,-0.004845126,0.01473881,1.590743,0.001391793,-0.000318881,0.000897522,-0.000549802,-0.000918268,-0.00039384,0.001475813,0.009184996,0.07583847,0.02795095,0.0115208,0.000495538,0.01201933
-0.2228025,0.8128905,-2.741043,-0.004845126,0.01473881,1.590743,0.001391793,-0.000318881,0.000897522,-0.000549802,-0.000918268,-0.00039384,0.001475813,0.009184996,0.07583847,0.02795095,0.0115208,0.000495538,0.01201933
-0.2228025,0.8128905,-2.741043,-0.004845126,0.01473881,1.590743,0.001391793,-0.000318881,0.000897522,-0.000549802,-0.000918268,-0.00039384,0.001475813,0.009184996,0.07583847,0.02795095,0.0115208,0.000495538,0.01201933
-0.2228025,0.8128905,-2.741043,-0.004845126,0.01473881,1.590743,0.001391793,-0.000318881,0.000897522,-0.000549802,-0.000918268,-0.00039384,0.001475813,0.009184996,0.07583847,0.02795095,0.0115208,0.000495538,0.01201933
-0.2228025,0.8128905,-2.741043,-0.004845126,0.01473881,1.590743,0.001391793,-0.000318881,0.000897522,-0.000549802,-0.000918268,-0.00039384,0.001475813,0.009184996,0.07583847,0.02795095,0.0115208,0.000495538,0.01201933
-0.2228025,0.8128905,-2.741043,-0.004845126,0.01473881,1.590743,0.001391793,-0.000318881,0.000897522,-0.000549802,-0.000918268,-0.00039384,0.001475813,0.009184996,0.07583847,0.02795095,0.0115208,0.000495538,0.01201933
