TRoll,TPitch, mavlink_attitude_t.roll, mavlink_attitude_t.pitch, mavlink_attitude_t.yaw, mavlink_attitude_t.rollspeed, mavlink_attitude_t.pitchspeed, mavlink_attitude_t.yawspeed, mavlink_ahrs_t.omegaIx, mavlink_ahrs_t.omegaIy, mavlink_ahrs_t.omegaIz, mavlink_ahrs_t.error_rp, mavlink_ahrs_t.error_yaw, mavlink_ekf_status_report_t.velocity_variance, mavlink_ekf_status_report_t.pos_horiz_variance, mavlink_ekf_status_report_t.pos_vert_variance, mavlink_ekf_status_report_t.compass_variance, mavlink_ekf_status_report_t.terrain_alt_variance, mavlink_ekf_status_report_t.airspeed_variance
0,0,0.001398492,0.01824828,3.004294,0.001609961,0.004006957,0.01103348,0,0,0,0,0,0,0,0,0,0,0
0,0,0.002053174,0.0113719,3.003196,0.05298761,0.000349905,-0.01944989,0,0,0,0,0,0,0,0,0,0,0
0,0,0.003207568,0.02246148,2.999945,0.02990884,0.01269619,-0.01530187,0,0,0,0,0,0,0,0,0,0,0
0,0,0.00114578,0.02140343,2.997939,-0.02093451,-0.03879048,-0.00764438,0,0,0,0,0,0,0,0,0,0,0
0,0,0.001482326,0.02340678,2.997926,-0.000951404,-0.008497966,-0.009655721,0,0,0,0,0,0,0,0,0,0,0
0,0,-0.00137604,0.02234552,2.995806,0.003304718,-0.02045182,0.02546229,0,0,0,0,0,0,0,0,0,0,0
0,0,-0.002887165,0.02407561,2.995312,-0.01918734,-0.001514785,-0.01436767,0,0,0,0,0,0,0,0,0,0,0
0,0,-0.009174759,0.02610938,2.994369,0.01593879,0.07378953,-0.01225798,0,0,0,0,0,0,0,0,0,0,0
0,0,-0.001368834,0.02494498,2.991353,-0.006502097,0.000868505,0.02169821,0,0,0,0,0,0,0,0,0,0,0
0,0,0.001207405,0.02826469,2.993517,-0.000270618,-0.000198596,0.008116631,0,0,0,0,0,0,0,0,0,0,0
0,0,0.000514458,0.02935823,2.995047,-0.000344512,0.000555042,-0.000870694,0,0,0,0,0,0,0,0,0,0,0
