TRoll,TPitch, mavlink_attitude_t.roll, mavlink_attitude_t.pitch, mavlink_attitude_t.yaw, mavlink_attitude_t.rollspeed, mavlink_attitude_t.pitchspeed, mavlink_attitude_t.yawspeed, mavlink_ahrs_t.omegaIx, mavlink_ahrs_t.omegaIy, mavlink_ahrs_t.omegaIz, mavlink_ahrs_t.error_rp, mavlink_ahrs_t.error_yaw, mavlink_ekf_status_report_t.velocity_variance, mavlink_ekf_status_report_t.pos_horiz_variance, mavlink_ekf_status_report_t.pos_vert_variance, mavlink_ekf_status_report_t.compass_variance, mavlink_ekf_status_report_t.terrain_alt_variance, mavlink_ekf_status_report_t.airspeed_variance
-0.1303065,-0.2459805,-0.002287782,-0.004358213,-0.2086888,-0.001118812,-0.000613841,0.001463701,-0.000341182,-0.000157962,0.002341293,0.001845547,0.5190535,0.01320229,0.02061286,0.00993945,0.7003762,0,0
-0.1303065,-0.2459805,-0.002287782,-0.004358213,-0.2086888,-0.001118812,-0.000613841,0.001463701,-0.000341182,-0.000157962,0.002341293,0.001845547,0.5190535,0.01320229,0.02061286,0.00993945,0.7003762,0,0
-0.1303065,-0.2459805,-0.002287782,-0.004358213,-0.2086888,-0.001118812,-0.000613841,0.001463701,-0.000341182,-0.000157962,0.002341293,0.001845547,0.5190535,0.01320229,0.02061286,0.00993945,0.7003762,0,0
-0.1303065,-0.2459805,-0.002287782,-0.004358213,-0.2086888,-0.001118812,-0.000613841,0.001463701,-0.000341182,-0.000157962,0.002341293,0.001845547,0.5190535,0.01320229,0.02061286,0.00993945,0.7003762,0,0
-0.04276363,-0.20766,-0.002287782,-0.004358213,-0.2086888,-0.001118812,-0.000613841,0.001463701,-0.000341182,-0.000157962,0.002341293,0.001845547,0.5190535,0.01320229,0.02061286,0.00993945,0.7003762,0,0
-0.04276363,-0.20766,-0.000834455,-0.003594058,-0.7186032,4.25E-05,0.000531552,0.000611296,-0.000341182,-0.000157962,0.002341293,0.001845547,0.5190535,0.01320229,0.02061286,0.00993945,0.7003762,0,0
-0.04276363,-0.20766,-0.000834455,-0.003594058,-0.7186032,4.25E-05,0.000531552,0.000611296,-0.000321771,-0.000219412,0.000478539,0.000548574,0.009035058,0.01320229,0.02061286,0.00993945,0.7003762,0,0
-0.04276363,-0.20766,-0.000834455,-0.003594058,-0.7186032,4.25E-05,0.000531552,0.000611296,-0.000321771,-0.000219412,0.000478539,0.000548574,0.009035058,0.008696987,0.008647379,0.002028671,0.1089989,0,0
-0.04276363,-0.20766,-0.000834455,-0.003594058,-0.7186032,4.25E-05,0.000531552,0.000611296,-0.000321771,-0.000219412,0.000478539,0.000548574,0.009035058,0.008696987,0.008647379,0.002028671,0.1089989,0,0
-0.04276363,-0.20766,-0.000834455,-0.003594058,-0.7186032,4.25E-05,0.000531552,0.000611296,-0.000321771,-0.000219412,0.000478539,0.000548574,0.009035058,0.008696987,0.008647379,0.002028671,0.1089989,0,0
-0.04276363,-0.20766,-0.000834455,-0.003594058,-0.7186032,4.25E-05,0.000531552,0.000611296,-0.000321771,-0.000219412,0.000478539,0.000548574,0.009035058,0.008696987,0.008647379,0.002028671,0.1089989,0,0
-0.04276363,-0.20766,-0.000834455,-0.003594058,-0.7186032,4.25E-05,0.000531552,0.000611296,-0.000321771,-0.000219412,0.000478539,0.000548574,0.009035058,0.008696987,0.008647379,0.002028671,0.1089989,0,0
-0.04276363,-0.20766,-0.000834455,-0.003594058,-0.7186032,4.25E-05,0.000531552,0.000611296,-0.000321771,-0.000219412,0.000478539,0.000548574,0.009035058,0.008696987,0.008647379,0.002028671,0.1089989,0,0
-0.04276363,-0.20766,-0.000834455,-0.003594058,-0.7186032,4.25E-05,0.000531552,0.000611296,-0.000321771,-0.000219412,0.000478539,0.000548574,0.009035058,0.008696987,0.008647379,0.002028671,0.1089989,0,0
